발행일,카테고리,문서유형,제목,원문링크
2025-10-15,일반 정책,Presidential Action,ENSURING CONTINUED ACCOUNTABILITY IN FEDERAL HIRING,https://www.whitehouse.gov/presidential-actions/2025/10/ensuring-continued-accountability-in-federal-hiring/
2025-10-09,일반 정책,Presidential Action,"COLUMBUS DAY, 2025",https://www.whitehouse.gov/presidential-actions/2025/10/columbus-day-2025/
2025-10-09,일반 정책,Presidential Action,"LEIF ERIKSON DAY, 2025",https://www.whitehouse.gov/presidential-actions/2025/10/leif-erikson-day-2025/
2025-09-22,42. Manufacturing,Presidential Action,DESIGNATING ANTIFA AS A DOMESTIC TERRORIST ORGANIZATION,https://www.whitehouse.gov/presidential-actions/2025/09/designating-antifa-as-a-domestic-terrorist-organization/
2025-09-19,일반 정책,Presidential Action,RESTRICTION ON ENTRY OF CERTAIN NONIMMIGRANT WORKERS,https://www.whitehouse.gov/presidential-actions/2025/09/restriction-on-entry-of-certain-nonimmigrant-workers/
2025-09-19,일반 정책,Presidential Action,THE GOLD CARD,https://www.whitehouse.gov/presidential-actions/2025/09/the-gold-card/
2025-09-05,일반 정책,Presidential Action,STRENGTHENING EFFORTS TO PROTECT U.S. NATIONALS FROM WRONGFUL DETENTION ABROAD,https://www.whitehouse.gov/presidential-actions/2025/09/strengthening-efforts-to-protect-u-s-nationals-from-wrongful-detention-abroad/
2025-09-05,일반 정책,Presidential Action,RESTORING THE UNITED STATES DEPARTMENT OF WAR,https://www.whitehouse.gov/presidential-actions/2025/09/restoring-the-united-states-department-of-war/
2025-08-21,일반 정책,Presidential Action,IMPROVING OUR NATION THROUGH BETTER DESIGN,https://www.whitehouse.gov/presidential-actions/2025/08/improving-our-nation-through-better-design/
2025-08-07,일반 정책,Presidential Action,GUARANTEEING FAIR BANKING FOR ALL AMERICANS,https://www.whitehouse.gov/presidential-actions/2025/08/guaranteeing-fair-banking-for-all-americans/
2025-07-31,일반 정책,Presidential Action,FURTHER MODIFYING THE RECIPROCAL TARIFF RATES,https://www.whitehouse.gov/presidential-actions/2025/07/further-modifying-the-reciprocal-tariff-rates/
2025-07-31,일반 정책,Presidential Action,"President's Council on Sports, Fitness, and Nutrition, and the Reesetablishment of the Presidential Fitness Test",https://www.whitehouse.gov/presidential-actions/2025/07/presidents-council-on-sports-fitness-and-nutrition-and-the-reesetablishment-of-the-presidential-fitness-test/
2025-07-24,일반 정책,Presidential Action,ENDING CRIME AND DISORDER ON AMERICA’S STREETS,https://www.whitehouse.gov/presidential-actions/2025/07/ending-crime-and-disorder-on-americas-streets/
2025-07-23,일반 정책,Presidential Action,PROMOTING THE EXPORT OF THE AMERICAN AI TECHNOLOGY STACK,https://www.whitehouse.gov/presidential-actions/2025/07/promoting-the-export-of-the-american-ai-technology-stack/
2025-06-30,일반 정책,Presidential Action,NATIONAL SECURITY PRESIDENTIAL MEMORANDUM/NSPM-5,https://www.whitehouse.gov/presidential-actions/2025/06/national-security-presidential-memorandum-nspm-5/
2025-06-30,일반 정책,Presidential Action,PROVIDING FOR THE REVOCATION OF SYRIA SANCTIONS,https://www.whitehouse.gov/presidential-actions/2025/06/providing-for-the-revocation-of-syria-sanctions/
2025-06-06,일반 정책,Presidential Action,"Eliminating Waste, Fraud, and Abuse in Medicaid",https://www.whitehouse.gov/presidential-actions/2025/06/eliminating-waste-fraud-and-abuse-in-medicaid/
2025-06-06,일반 정책,Presidential Action,RESTORING AMERICAN AIRSPACE SOVEREIGNTY,https://www.whitehouse.gov/presidential-actions/2025/06/restoring-american-airspace-sovereignty/
2025-06-04,일반 정책,Presidential Action,Restricting The Entry of Foreign Nationals to Protect the United States from Foreign Terrorists and Other National Security and Public Safety Threats,https://www.whitehouse.gov/presidential-actions/2025/06/restricting-the-entry-of-foreign-nationals-to-protect-the-united-states-from-foreign-terrorists-and-other-national-security-and-public-safety-threats/
2025-05-24,일반 정책,Presidential Action,"NATIONAL PHYSICAL FITNESS AND SPORTS MONTH, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/national-physical-fitness-and-sports-month-2025/
2025-05-23,37. Energy/Utility,Presidential Action,REINVIGORATING THE NUCLEAR INDUSTRIAL BASE,https://www.whitehouse.gov/presidential-actions/2025/05/reinvigorating-the-nuclear-industrial-base/
2025-05-12,일반 정책,Presidential Action,MODIFYING RECIPROCAL TARIFF RATES TO REFLECT DISCUSSIONS WITH THE PEOPLE’S REPUBLIC OF CHINA,https://www.whitehouse.gov/presidential-actions/2025/05/modifying-reciprocal-tariff-rates-to-reflect-discussions-with-the-peoples-republic-of-china/
2025-05-09,일반 정책,Presidential Action,"Mother’s Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/mothers-day-2025/
2025-05-09,일반 정책,Presidential Action,Keeping Promises to Veterans and Establishing a National Center for Warrior Independence,https://www.whitehouse.gov/presidential-actions/2025/05/keeping-promises-to-veterans-and-establishing-a-national-center-for-warrior-independence/
2025-05-05,42. Manufacturing,Presidential Action,REGULATORY RELIEF TO PROMOTE DOMESTIC PRODUCTION OF CRITICAL MEDICINES,https://www.whitehouse.gov/presidential-actions/2025/05/regulatory-relief-to-promote-domestic-production-of-critical-medicines/
2025-04-28,일반 정책,Presidential Action,Strengthening and Unleashing America's Law Enforcement to Pursue Criminals and Protect Innocent Citizens,https://www.whitehouse.gov/presidential-actions/2025/04/strengthening-and-unleashing-americas-law-enforcement-to-pursue-criminals-and-protect-innocent-citizens/
2025-04-23,일반 정책,Presidential Action,RESTORING EQUALITY OF OPPORTUNITY AND MERITOCRACY,https://www.whitehouse.gov/presidential-actions/2025/04/restoring-equality-of-opportunity-and-meritocracy/
