발행일,제목,원문링크
2026-01-23,First Lady Melania Trump to Ring Opening Bell of the New York Stock Exchange,https://www.whitehouse.gov/briefings-statements/2026/01/first-lady-melania-trump-to-ring-opening-bell-of-the-new-york-stock-exchange/
2026-01-20,"365 WINS IN 365 DAYS: President Trump’s Return Marks New Era of Success, Prosperity",https://www.whitehouse.gov/articles/2026/01/365-wins-in-365-days-president-trumps-return-marks-new-era-of-success-prosperity/
2026-01-16,"First Lady Melania Trump Inspires America’s Children to be Curious, Use AI to Achieve their Career Ambitions",https://www.whitehouse.gov/briefings-statements/2026/01/first-lady-melania-trump-inspires-americas-children-to-be-curious-use-ai-to-achieve-their-career-ambitions/
2025-12-11,The White House Hosts Third AI Education Task Force Meeting with Educators and Parents,https://www.whitehouse.gov/articles/2025/12/31600/
2025-11-21,First Lady Melania Trump and Second Lady Usha Vance Visit Camp Lejeune and Marine Corps Air Station New River in North Carolina,https://www.whitehouse.gov/briefings-statements/2025/11/first-lady-melania-trump-and-second-lady-usha-vance-visit-camp-lejeune-and-marine-corps-air-station-new-river-in-north-carolina/
2025-11-17,Presidential Message on American Education Week,https://www.whitehouse.gov/briefings-statements/2025/11/presidential-message-on-american-education-week/
